**** Analysis Summary ****

Time of run: ,07/07/15 17:06
Concentration file: ,E:\pmf\JFcH.csv
Uncertainty file: ,E:\pmf\JFcHunc.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
mass,Weak,     10.0,  2.45000, 25.79000, 34.16000, 61.17500,3318.47000, 100.00 %, 100.00 %
13                    1,0.01015,0.00937,0.00107,0.02079,0.07200,0.08143,6.39532,0.07224,3.37200,0.30390,0.01483,0.00909,0.00564,0.01603,0.01709,0.04105,0.02032,0.36520,0.75986,0.00221,0.00318,0.00054,0.11204,2.63648,
13                    2,0.00879,0.00883,0.00080,0.01045,0.03133,0.05348,2.54189,0.05357,1.62930,0.14263,0.00685,0.00633,0.00463,0.01088,0.00953,0.03090,0.01615,0.29258,0.43304,0.00171,0.00232,0.00045,0.08347,1.91109,
13                    3,0.01147,0.00785,0.00057,0.00969,0.02763,0.07012,4.38303,0.02844,2.56745,0.19352,0.00615,0.00812,0.00549,0.01407,0.00905,0.03674,0.01980,0.34756,0.65269,0.00213,0.00257,0.00029,0.10209,1.81668,
13                    4,0.01128,0.00691,0.00035,0.00641,0.01635,0.06795,3.94530,0.00526,2.60687,0.19155,0.00400,0.00853,0.00547,0.01309,0.00757,0.03830,0.02041,0.36618,0.68650,0.00219,0.00269,0.00016,0.10731,1.59443,
13                    5,0.00032,0.00028,0.00005,0.00033,0.00093,0.00221,0.10464,0.00097,0.06094,0.00457,0.00027,0.00028,0.00022,0.00040,0.00035,0.00120,0.00062,0.01064,0.01414,0.00009,0.00011,0.00003,0.00333,0.04744,
13                    6,0.00528,0.00587,0.00037,0.00527,0.01013,0.04270,1.65221,0.00231,1.12174,0.05574,0.00291,0.00574,0.00370,0.00654,0.00177,0.02692,0.01372,0.25121,0.33338,0.00148,0.00182,0.00015,0.07494,1.00061,
13                    7,0.00164,0.00062,0.00013,0.00160,0.00889,0.00674,0.50968,0.00428,0.37269,0.05211,0.00129,0.00077,0.00050,0.00180,0.00226,0.00325,0.00163,0.02978,0.06736,0.00023,0.00032,0.00007,0.00886,0.19123,
13                    8,0.00516,0.00521,0.00044,0.00973,0.02524,0.05021,3.46270,0.01500,1.67190,0.06741,0.00615,0.00588,0.00377,0.00741,0.00242,0.02792,0.01366,0.24340,0.40656,0.00146,0.00180,0.00016,0.07655,1.19665,
13                    9,0.00162,0.00066,0.00005,0.00053,0.00154,0.00597,0.51561,0.00157,0.39539,0.04854,0.00046,0.00063,0.00039,0.00180,0.00217,0.00221,0.00123,0.02228,0.05062,0.00018,0.00023,0.00006,0.00652,0.14079,
13                    10,0.00062,0.00062,0.00005,0.00051,0.00244,0.00304,0.17087,0.00128,0.13609,0.01689,0.00047,0.00038,0.00028,0.00064,0.00109,0.00150,0.00089,0.01523,0.02825,0.00010,0.00014,0.00004,0.00404,0.10218,
13                    11,0.02187,0.02031,0.00169,0.02960,0.10839,0.10328,6.86844,0.09082,5.42687,0.68465,0.02385,0.01250,0.00792,0.02689,0.04801,0.05440,0.02836,0.53415,1.05291,0.00323,0.00518,0.00100,0.15119,4.70153,
13                    12,0.00497,0.00429,0.00044,0.01299,0.03934,0.05473,5.51704,0.01596,2.64009,0.16254,0.00877,0.00596,0.00329,0.00928,0.00578,0.02480,0.01219,0.21138,0.53566,0.00136,0.00174,0.00016,0.06961,1.31925,
