**** Analysis Summary ****

Time of run: ,05/08/16 00:07
Concentration file: ,C:\Users\thiago\Documents\EPA PMF\Data\pmf_fa\TGeH.csv
Uncertainty file: ,C:\Users\thiago\Documents\EPA PMF\Data\pmf_fa\TGeHunc8.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
15                    6,0.00001,0.00001,0.00002,0.00001,0.00001,0.00003,0.00002,0.00002,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00003,0.00005,0.00001,
15                    7,0.00011,0.00156,0.00164,0.00377,0.00253,0.00704,0.00162,0.00153,0.00243,0.00158,0.00063,0.00076,0.00188,0.00102,0.00367,0.00075,0.00042,
15                    8,0.00033,0.00428,0.00498,0.01048,0.00691,0.02029,0.00448,0.00591,0.00958,0.00454,0.00177,0.00220,0.00474,0.00266,0.01002,0.00326,0.00099,
15                    9,0.00013,0.00185,0.00204,0.00452,0.00310,0.00853,0.00251,0.00147,0.00324,0.00189,0.00082,0.00092,0.00224,0.00116,0.00417,0.00242,0.00048,
15                    10,0.00010,0.00122,0.00207,0.00296,0.00192,0.00493,0.00137,0.00115,0.00208,0.00141,0.00050,0.00066,0.00143,0.00087,0.00297,0.00140,0.00035,
15                    11,0.57767,331.60934,4.07825,26.85290,11.33729,466.49629,3.21091,4.74950,2.58557,4.31930,2.52769,3.99531,18.37494,4.78466,26.79970,7.22411,4.13898,
15                    12,0.00002,0.00016,0.00015,0.00033,0.00020,0.00067,0.00028,0.00018,0.00033,0.00016,0.00008,0.00007,0.00017,0.00011,0.00027,0.00038,0.00004,
15                    13,0.57750,331.61035,4.07808,26.84730,11.33838,466.47505,3.21006,4.74745,2.58430,4.31808,2.52615,3.99588,18.37412,4.78372,26.79513,7.22490,4.13916,
15                    14,0.58023,331.61387,4.06980,26.85145,11.33826,466.47471,3.20336,4.74941,2.58217,4.31719,2.52585,3.99500,18.37345,4.78308,26.79921,7.22422,4.13996,
16                    1,0.00000,0.00002,0.00000,0.00000,0.00000,0.00000,0.00002,0.00001,0.00002,0.00001,0.00000,0.00001,0.00000,0.00001,0.00002,0.00003,0.00000,
16                    2,0.00000,0.00004,0.00001,0.00001,0.00000,0.00000,0.00003,0.00002,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00002,0.00003,0.00001,
16                    3,0.57862,331.64113,4.05904,26.83197,11.32957,466.47153,3.20326,4.75813,2.57314,4.30878,2.52413,3.99482,18.37608,4.78143,26.75529,7.26187,4.14011,
16                    4,0.00000,0.00002,0.00000,0.00000,0.00000,0.00001,0.00003,0.00002,0.00001,0.00000,0.00001,0.00000,0.00001,0.00001,0.00001,0.00003,0.00000,
16                    5,0.57615,331.64095,4.07806,26.83282,11.28763,466.27137,3.19887,4.76371,2.57815,4.30198,2.52012,3.99211,18.37442,4.77735,26.80862,7.22471,4.15221,
16                    6,0.57817,331.61324,4.07260,26.84475,11.33245,466.47493,3.20307,4.75114,2.57961,4.31617,2.52489,3.99803,18.37271,4.78178,26.78006,7.23588,4.14070,
16                    7,0.58794,331.58891,4.06288,26.91522,11.50732,467.17671,3.22603,4.72628,2.58804,4.37725,2.54691,4.02544,18.39261,4.81224,26.75208,7.25375,4.09054,
