id,ug_cm2,erro
ACC852,4.1802085638,0.0950172185
ACC853,7.8475502063,0.1955744718
ACC854,4.311122876,0.0984833602
ACC855,1.2132555583,0.0349492555
ACC856,5.0878862374,0.1193550777
ACC857,0.3224729213,0.0405195562
ACC858,3.7941181046,0.0849165501
ACC859,8.2816209288,0.2077019576
ACC860,7.5393423143,0.1869780362
ACC861,7.3559339111,0.1818690271
ACC862,6.877565633,0.1685703607
ACC865,9.3881831176,0.2387032341
ACC866,5.2854641054,0.1247276248
ACC867,4.2125000882,0.0958704648
ACC868,5.9691648368,0.1434554143
ACC870,5.7158786991,0.1364958515
ACC871,7.3051789231,0.1804561375
ACC872,9.0076233272,0.2280297053
ACC873,8.2163638305,0.2058773496
ACC874,7.1089277206,0.1749970869
ACC875,8.0581442961,0.2014554699
ACC877,3.9017491895,0.0877118332
ACC878,0.2706380041,0.041298915
ACC880,7.9363230024,0.1980528483
ACC881,5.1994765994,0.1223869004
ACC882,6.9226810257,0.1698227549
ACC884,6.4947892491,0.1579620896
ACC885,4.3897130103,0.1005726099
ACC887,4.1059531707,0.0930596666
ACC888,8.8504248799,0.2236241334
ACC889,4.3222470868,0.0987787164
ACC891,7.8184321208,0.1947617675
ACC892,6.3174568644,0.1530592882
ACC893,7.9663997186,0.1988927605
ACC894,0.3187459446,0.0405743149
ACC895,4.311122876,0.0984833602
ACC896,8.1522516528,0.2040852138
ACC897,4.8229658957,0.1121868505
ACC898,4.2560041781,0.0970217884
ACC899,6.375616719,0.1546663675
ACC900,7.2303442179,0.1783737064
ACC903,7.6762234999,0.1907942561
ACC905,5.4183624018,0.1283525229
ACC906,7.3051789231,0.1804561375
ACC907,8.1522516528,0.2040852138
ACC908,5.986691491,0.1439378103
ACC909,10.0723103298,0.2579159956
ACC910,6.9226810257,0.1698227549
ACC911,0.3524263709,0.0400868701
ACC912,9.3438880251,0.2374603358
ACC914,8.0892449127,0.2023244342
ACC915,5.2279148783,0.123160617
ACC917,9.2141359194,0.2338203805
ACC918,0.2340581151,0.0418712504
ACC920,0.2376996703,0.0418134714
ACC921,6.1852455311,0.1494094534
ACC922,10.5911123116,0.2725038256
ACC923,7.132890432,0.1756632891
ACC924,8.8504248799,0.2236241334
ACC925,7.5663114433,0.1877297159
ACC926,5.7486529133,0.1373950915
ACC929,6.39521087,0.1552079958
ACC930,7.8475502063,0.1955744718
ACC931,7.2057360414,0.1776891398
ACC932,8.0273061351,0.2005939518
ACC933,8.0273061351,0.2005939518
ACC934,9.3881831176,0.2387032341
ACC935,10.7171351584,0.2760494002
ACC936,8.5906190252,0.2163476843
ACC937,10.6535805061,0.2742612364
ACC938,5.6996011648,0.1360493893
ACC940,7.2303442179,0.1783737064
ACC941,9.4330217218,0.2399615252
ACC942,8.3146917463,0.2086268038
ACC943,8.2488467145,0.2067855225
ACC944,0.3299382975,0.0404104792
ACC945,9.7633122333,0.2492345589
ACC946,7.4859939158,0.1854914355
ACC947,7.5663114433,0.1877297159
ACC948,8.8121596046,0.2225520471
ACC949,9.813031373,0.2506310528
ACC950,6.39521087,0.1552079958
ACC952,7.3051789231,0.1804561375
ACC953,9.3438880251,0.2374603358
ACC956,9.0480027479,0.2291616907
ACC957,9.5709362173,0.2438326478
ACC958,10.4692910178,0.2690771807
ACC959,7.7895442202,0.1939555975
ACC960,0.337418956,0.0403019987
ACC962,6.76715541,0.1655071487
ACC963,8.1206124907,0.2032009719
ACC964,0.2890661843,0.0410175
ACC966,7.8769021745,0.196393815
ACC967,7.996726037,0.1997397556
ACC968,9.0888333447,0.2303064577
ACC970,8.9676852204,0.2269102223
ACC971,9.9145462451,0.2534828362
ACC972,8.4157387481,0.2114533626
ACC973,8.5549670313,0.2153496589
ACC974,6.39521087,0.1552079958
ACC975,9.0480027479,0.2291616907
ACC977,8.8890950862,0.2247076934
ACC979,7.7608828938,0.1931558598
ACC980,7.996726037,0.1997397556
ACC981,8.0581442961,0.2014554699
ACC982,8.7368105353,0.2204413539
