**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 2

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Ca,  6.14063,  5.97426,  6.22476, 10.17365, 10.81410, 12.12978,  9.31327,  2.20389,  0.23664,  0.35890
Ti,  4.58453,  4.42842,  4.66221,  8.44480,  9.49176, 10.64578,  7.77101,  2.24129,  0.28842,  0.48888
V, 10.37721, 10.13207, 10.49944, 15.14258, 16.32547, 17.72525, 14.09621,  2.71654,  0.19271,  0.26178
Mn,  4.39784,  4.19855,  4.49283,  8.96758,  9.57419, 10.95567,  7.93073,  2.44911,  0.30881,  0.55689
Fe,  4.73916,  4.56721,  4.82366,  8.93961,  9.67824, 11.03079,  8.07256,  2.31977,  0.28737,  0.48949
Zn,  7.26403,  6.69911,  7.40611, 12.87315, 17.36803, 20.73642, 12.68996,  5.09510,  0.40151,  0.70142
Br,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Pb,  0.88128,  0.00000,  1.03677,  6.68070, 12.17065, 15.98687,  6.83226,  5.74726,  0.84119,  6.52151
BC,  4.75451,  2.52626,  4.95853, 11.92255, 19.87102, 24.98926, 12.50506,  7.82525,  0.62577,  1.64586

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 54.05882, 54.01302, 54.06268, 54.22249, 56.61383, 58.89657, 55.11515,  1.63408,  0.02965,  0.03023
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg, 78.85486, 78.81677, 78.85493, 79.04851, 82.28054, 82.57529, 80.01468,  1.65568,  0.02069,  0.02100
Al, 80.89379, 80.85000, 80.89143, 81.12704, 84.75795, 85.23991, 82.19064,  1.83992,  0.02239,  0.02274
