AFR-654,16.2,não estava na lista,
AFR-655,8.2,não estava na lista,
AFR-656,23.6,não estava na lista,
AFR-657,15.3,não estava na lista,
AFR-658,13,não estava na lista,
AFR-659,21.3,não estava na lista,
AFR-660,29.7,não estava na lista,
AFR-661,20,,
AFR-662,21.6,,
AFR-663,19.9,,
AFR-664,32.2,,
AFR-665,14.6,,
AFR-666,31.8,,
AFR-667,7.1,,
AFR-668,18.6,,
AFR-669,102.5,,
AFR-670,9,,
AFR-671,32.5,,
AFR-672,102.7,,
AFR-673,15.7,,
AFR-674,9.4,,
AFR-675,18.4,,
AFR-676,7.9,,
AFR-677,63,,
AFR-678,9.2,,
AFR-679,16.5,,
AFR-680,27,,
AFR-681,21.1,,
AFR-682,11.8,,
AFR-683,33.5,,
AFR-684,76.8,,
AFR-685,26.9,,
AFR-686,8.7,,
AFR-687,96.5,,
AFR-688,33,,
AFR-689,28.5,totalmente rasgado,
AFR-690,9.7,,
AFR-691,17.8,,
AFR-692,24.8,,
AFR-693,33,,
AFR-694,102.3,,
AFR-695,8.7,,
AFR-696,4.8,,
AFR-697,21.3,,
AFR-698,40.8,filtro grudou na caixinha,rasgado
AFR-699,23.1,,
