**** Analysis Summary ****

Time of run: ,04/10/16 01:52
Concentration file: ,C:\Users\Andrea\Documents\EPA PMF\Data\pmf_fa\RGsH.csv
Uncertainty file: ,C:\Users\Andrea\Documents\EPA PMF\Data\pmf_fa\RGsHunc8.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
12                    1,0.00429,0.05755,0.33211,0.05399,0.02235,0.49223,0.31362,0.02684,0.27972,0.45604,0.05142,0.10767,0.03148,0.12084,0.61526,1.46832,0.10431,
12                    2,0.00001,0.00008,0.00013,0.00004,0.00004,0.00019,0.00015,0.00006,0.00017,0.00030,0.00006,0.00001,0.00002,0.00007,0.00032,0.00037,0.00004,
12                    3,0.00001,0.00029,0.00142,0.00008,0.00008,0.00083,0.00038,0.00019,0.00041,0.00104,0.00018,0.00002,0.00005,0.00027,0.00171,0.00086,0.00050,
12                    4,0.00001,0.00007,0.00005,0.00010,0.00006,0.00034,0.00015,0.00006,0.00017,0.00039,0.00005,0.00001,0.00002,0.00009,0.00044,0.00037,0.00005,
12                    5,0.00002,0.00027,0.00081,0.00011,0.00008,0.00092,0.00035,0.00023,0.00043,0.00111,0.00013,0.00003,0.00005,0.00020,0.00192,0.00085,0.00045,
12                    6,0.00437,0.06594,0.46794,0.07108,0.02608,0.63088,0.40188,0.03211,0.32783,0.56185,0.07107,0.11708,0.03543,0.16763,0.62576,1.88525,0.09669,
12                    7,0.00001,0.00036,0.00189,0.00007,0.00008,0.00083,0.00049,0.00020,0.00055,0.00117,0.00019,0.00003,0.00007,0.00027,0.00197,0.00104,0.00064,
12                    8,0.00001,0.00005,0.00004,0.00013,0.00007,0.00035,0.00011,0.00005,0.00015,0.00034,0.00004,0.00001,0.00004,0.00009,0.00043,0.00029,0.00003,
12                    9,0.00001,0.00010,0.00014,0.00014,0.00009,0.00052,0.00030,0.00009,0.00032,0.00069,0.00013,0.00002,0.00004,0.00021,0.00094,0.00068,0.00009,
12                    10,0.00427,0.06693,0.48866,0.07380,0.02681,0.65232,0.41127,0.03292,0.33320,0.57685,0.07372,0.12621,0.03537,0.17254,0.62860,1.94235,0.09767,
12                    11,0.00001,0.00009,0.00008,0.00014,0.00010,0.00049,0.00026,0.00009,0.00027,0.00067,0.00007,0.00003,0.00005,0.00014,0.00087,0.00055,0.00006,
13                    1,0.00427,0.05517,0.32067,0.05316,0.02208,0.48804,0.30997,0.02660,0.27466,0.44233,0.04930,0.10756,0.03104,0.11853,0.60871,1.41164,0.09758,
13                    2,0.00001,0.00016,0.00162,0.00004,0.00004,0.00017,0.00013,0.00005,0.00014,0.00011,0.00005,0.00001,0.00003,0.00004,0.00056,0.00049,0.00022,
13                    3,0.00001,0.00042,0.00425,0.00009,0.00009,0.00070,0.00022,0.00019,0.00021,0.00057,0.00014,0.00002,0.00007,0.00016,0.00216,0.00049,0.00097,
13                    4,0.00001,0.00027,0.00180,0.00006,0.00005,0.00021,0.00008,0.00007,0.00018,0.00015,0.00005,0.00002,0.00005,0.00006,0.00055,0.00061,0.00024,
13                    5,0.00002,0.00044,0.00397,0.00010,0.00009,0.00076,0.00017,0.00023,0.00022,0.00064,0.00011,0.00003,0.00007,0.00014,0.00231,0.00057,0.00090,
13                    6,0.00436,0.06342,0.45544,0.07009,0.02564,0.62621,0.39745,0.03180,0.32272,0.54599,0.06848,0.11697,0.03484,0.16474,0.61900,1.82144,0.09056,
13                    7,0.00001,0.00051,0.00490,0.00009,0.00010,0.00075,0.00026,0.00021,0.00023,0.00066,0.00015,0.00002,0.00009,0.00017,0.00249,0.00044,0.00118,
13                    8,0.00001,0.00023,0.00180,0.00008,0.00005,0.00021,0.00010,0.00004,0.00028,0.00015,0.00006,0.00002,0.00006,0.00007,0.00051,0.00081,0.00019,
13                    9,0.00001,0.00021,0.00179,0.00008,0.00007,0.00036,0.00008,0.00008,0.00019,0.00032,0.00009,0.00002,0.00006,0.00011,0.00107,0.00046,0.00031,
13                    10,0.00426,0.06435,0.47590,0.07276,0.02633,0.64750,0.40663,0.03259,0.32786,0.56069,0.07105,0.12611,0.03476,0.16960,0.62165,1.87754,0.09153,
13                    11,0.00001,0.00019,0.00186,0.00008,0.00007,0.00031,0.00006,0.00008,0.00020,0.00031,0.00006,0.00002,0.00006,0.00010,0.00088,0.00056,0.00021,
13                    12,0.00001,0.00024,0.00185,0.00005,0.00004,0.00023,0.00033,0.00005,0.00043,0.00021,0.00009,0.00002,0.00005,0.00007,0.00031,0.00137,0.00017,
14                    1,0.00444,0.05723,0.33494,0.05333,0.02205,0.49273,0.30949,0.02610,0.27169,0.43258,0.04994,0.10838,0.03083,0.12055,0.61073,1.42652,0.10499,
14                    2,0.00001,0.00004,0.00020,0.00007,0.00004,0.00017,0.00006,0.00003,0.00005,0.00011,0.00003,0.00001,0.00004,0.00003,0.00023,0.00012,0.00002,
14                    3,0.00001,0.00014,0.00176,0.00007,0.00005,0.00042,0.00014,0.00006,0.00009,0.00013,0.00011,0.00002,0.00004,0.00011,0.00075,0.00011,0.00031,
14                    4,0.00001,0.00002,0.00006,0.00002,0.00001,0.00004,0.00002,0.00002,0.00003,0.00005,0.00001,0.00001,0.00001,0.00002,0.00006,0.00006,0.00001,
14                    5,0.00001,0.00012,0.00103,0.00005,0.00004,0.00023,0.00009,0.00008,0.00009,0.00015,0.00006,0.00002,0.00003,0.00005,0.00076,0.00009,0.00026,
14                    6,0.00453,0.06523,0.47151,0.07032,0.02545,0.63213,0.39717,0.03106,0.31887,0.53376,0.06916,0.11780,0.03477,0.16705,0.62118,1.83726,0.09701,
14                    7,0.00001,0.00018,0.00227,0.00010,0.00007,0.00042,0.00019,0.00007,0.00016,0.00018,0.00012,0.00002,0.00007,0.00011,0.00098,0.00016,0.00042,
14                    8,0.00001,0.00002,0.00004,0.00003,0.00002,0.00009,0.00004,0.00003,0.00006,0.00011,0.00002,0.00002,0.00001,0.00002,0.00022,0.00013,0.00002,
14                    9,0.00001,0.00003,0.00018,0.00002,0.00002,0.00015,0.00004,0.00002,0.00003,0.00006,0.00006,0.00001,0.00002,0.00006,0.00023,0.00007,0.00002,
14                    10,0.00443,0.06616,0.49232,0.07298,0.02615,0.65356,0.40644,0.03182,0.32399,0.54815,0.07173,0.12697,0.03473,0.17192,0.62393,1.89345,0.09794,
14                    11,0.00000,0.00004,0.00002,0.00002,0.00002,0.00003,0.00003,0.00002,0.00002,0.00002,0.00001,0.00001,0.00002,0.00002,0.00012,0.00004,0.00001,
14                    12,0.00002,0.00007,0.00008,0.00013,0.00008,0.00050,0.00021,0.00009,0.00025,0.00064,0.00006,0.00002,0.00004,0.00012,0.00062,0.00063,0.00006,
