**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 9

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Ti,  0.17197,  0.00000,  0.07996,  0.15498,  0.19070,  0.21292,  0.13521,  0.06857,  0.50713,  0.39874
V,  0.00227,  0.00137,  0.00299,  0.00442,  0.00497,  0.00607,  0.00413,  0.00133,  0.32263,  0.58595
Mn,  0.01974,  0.01192,  0.01668,  0.02100,  0.02327,  0.02535,  0.01999,  0.00421,  0.21084,  0.21345
Fe,  2.45636,  2.12549,  2.53187,  3.10142,  3.39589,  4.33028,  3.03918,  0.53730,  0.17679,  0.21874
Zn,  0.04309,  0.01397,  0.02088,  0.02952,  0.04073,  0.05088,  0.03045,  0.01127,  0.37001,  0.26148
Br,  0.01282,  0.00770,  0.01275,  0.01555,  0.02177,  0.03093,  0.01739,  0.00654,  0.37626,  0.51047
Pb,  0.00494,  0.00000,  0.00022,  0.00207,  0.00510,  0.00860,  0.00278,  0.00282,  1.01522,  0.57024

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,  0.00000,  0.00000,  0.00000
Na,  1.57432,  0.00000,  0.78219,  1.27006,  2.35143,  3.53866,  1.43941,  1.01386,  0.70436,  0.64400
Mg,  0.81224,  0.00325,  0.17693,  0.25162,  0.78161,  0.90416,  0.40076,  0.30719,  0.76653,  0.37821
Al,  5.44612,  2.90361,  4.22807,  4.91018,  5.50353,  5.95388,  4.85108,  0.81309,  0.16761,  0.14930
Si, 12.27540,  7.71084,  8.95454, 10.27508, 10.96967, 13.04398, 10.05909,  1.49154,  0.14828,  0.12151
P,  0.07476,  0.00000,  0.04147,  0.06473,  0.07864,  0.17164,  0.06159,  0.03569,  0.57951,  0.47739
S,  0.32037,  0.00000,  0.02016,  0.16409,  0.45779,  0.72558,  0.23907,  0.23190,  0.97003,  0.72385
Cl,  2.87652,  1.92658,  4.15240,  5.27501,  7.32399, 10.95344,  5.77560,  2.19462,  0.37998,  0.76294
K,  0.91916,  0.00000,  0.08992,  0.27652,  0.96614,  1.16990,  0.47611,  0.43404,  0.91162,  0.47221
Ca,  1.19018,  0.58967,  1.02064,  7.37717,  7.85644,  8.37549,  5.54646,  3.23771,  0.58374,  2.72035
Ti,  0.34554,  0.23618,  0.32744,  0.50076,  0.57766,  0.62139,  0.46566,  0.13213,  0.28374,  0.38238
V,  0.01100,  0.00000,  0.00000,  0.00063,  0.01062,  0.01225,  0.00362,  0.00506,  1.39769,  0.45976
